essay_id,capitalisation,vocab
1,0.0,0.03576072821846554
2,0.0,0.026737967914438502
3,0.0,0.038796516231195566
4,0.038461538461538464,0.023088569265707796
5,0.0,0.02280285035629454
6,0.0,0.0475266731328807
7,0.0,0.020346320346320345
8,0.02631578947368421,0.023629068212215783
9,0.0,0.027551020408163266
10,0.07692307692307693,0.02346316283435007
11,0.0,0.02928615009151922
12,0.04,0.024567280848687884
13,0.0,0.04477611940298507
14,0.038461538461538464,0.02364607170099161
15,0.15384615384615385,0.04534313725490196
16,0.029411764705882353,0.020446800454373342
17,0.0,0.029251700680272108
18,0.0,0.029485570890840654
19,0.0,0.08754208754208755
20,0.0,0.0546984572230014
21,0.0,0.026737967914438502
22,0.0,0.11450381679389313
23,0.0,0.022476675148430873
24,0.07894736842105263,0.0218209179834462
25,0.0,0.03041274438812455
26,0.09523809523809523,0.030395136778115502
27,0.0,0.06779661016949153
28,0.07142857142857142,0.027267338470657973
29,0.0,0.028368794326241134
30,0.0,0.034334763948497854
31,0.125,0.025328330206378986
32,0.0,0.024154589371980676
33,0.0,0.05992010652463382
34,0.038461538461538464,0.02966381015161503
35,0.0,0.026189203634420097
36,0.0,0.023443815683104285
37,0.0,0.022611905860636824
38,0.0,0.02704485488126649
39,0.0,0.023160061760164694
40,0.0,0.055222088835534214
41,0.0,0.14444444444444443
42,0.0,0.035803497085761866
43,0.0,0.061224489795918366
44,0.0,0.03474320241691843
45,0.0,0.03311735061195104
46,0.0,0.029257314328582147
47,0.0,0.03383458646616541
48,0.03125,0.02252057167605024
49,0.0,0.026192075218267292
50,0.5,0.06923076923076923
51,0.07692307692307693,0.01936064835659613
52,0.0,0.03785780240073869
53,0.07407407407407407,0.027359017308766054
54,0.0625,0.027571580063626724
55,0.0,0.03992901508429459
56,0.045454545454545456,0.019095060190950603
57,0.043478260869565216,0.03279832519190509
58,0.0,0.05102040816326531
59,0.0,0.023645320197044337
60,0.0,0.10174418604651163
61,0.0,0.02896451846488052
62,0.07142857142857142,0.03694581280788178
63,0.0,0.03371647509578544
64,0.0,0.0389321468298109
65,0.0,0.023145712782745922
66,0.08,0.02522935779816514
67,0.0,0.03143712574850299
68,0.0,0.0273224043715847
69,0.16666666666666666,0.04429133858267716
70,0.14285714285714285,0.02839564600094652
71,0.09523809523809523,0.02404092071611253
72,0.08695652173913043,0.018923933209647494
73,0.23529411764705882,0.03093363329583802
74,0.034482758620689655,0.028613352898019074
75,0.0,0.02524955960070464
76,0.0,0.03337783711615487
77,0.10416666666666667,0.021251002405773857
78,0.037037037037037035,0.02816180235535074
79,0.0,0.028031687995124923
80,0.09523809523809523,0.027418520434557683
81,0.0625,0.029449423815621
82,0.043478260869565216,0.03340595497458242
83,0.0,0.039908779931584946
84,0.0,0.0449438202247191
85,0.0,0.019433198380566803
86,0.03571428571428571,0.02243436754176611
87,0.13157894736842105,0.02731958762886598
88,0.0,0.02505567928730512
89,0.0,0.028985507246376812
90,0.0,0.04747774480712166
91,0.0,0.03816793893129771
92,0.09803921568627451,0.02239328201539538
93,0.0,0.020134228187919462
94,0.04,0.034256559766763846
95,0.05714285714285714,0.02982107355864811
96,0.0,0.044804575786463297
97,0.0,0.03604902667627974
98,0.029411764705882353,0.02817622950819672
99,0.05,0.037531806615776084
100,0.0,0.05141657922350472
101,0.0,0.024942263279445726
102,0.0,0.03161512027491409
103,0.0,0.03153669724770642
104,0.0,0.02377093462992977
105,0.08823529411764706,0.021193771626297576
106,0.0,0.028555111364934323
107,0.019230769230769232,0.01812788398154252
108,0.0,0.030453697949036667
109,0.0,0.028708133971291867
110,0.0,0.04343629343629344
111,0.0,0.021739130434782608
